### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  278       60.95      0.8189      0.6351        1.454
  279       62.37      0.8074      0.6302        1.438
  280       63.83      0.7959      0.6251        1.421
  281       65.31      0.7843      0.6199        1.404
  282       66.83      0.7728      0.6147        1.387
  283       68.39      0.7612      0.6092         1.37
  284       69.98      0.7497      0.6037        1.353
  285       71.61      0.7381      0.6012        1.339
  286       73.28      0.7265      0.5987        1.325
  287       74.99      0.7149      0.5962        1.311
  288       76.74      0.7033      0.5935        1.297
  289       78.52      0.6895      0.5909         1.28
  290       80.35      0.6746      0.5886        1.263
  291       82.22      0.6597      0.5882        1.248
  292       84.14      0.6447      0.5877        1.232
  293        86.1      0.6297      0.5873        1.217
  294        88.1      0.6148      0.5869        1.202
  295       90.16      0.5998      0.5862        1.186
  296       92.26      0.5847      0.5831        1.168
  297       94.41      0.5697      0.5799         1.15
  298       96.61      0.5547      0.5766        1.131
  299       98.86      0.5399      0.5732        1.113
  300       101.2      0.5262      0.5704        1.097
  301       103.5      0.5124      0.5683        1.081
  302       105.9      0.4987      0.5662        1.065
  303       108.4      0.4849       0.564        1.049
  304       110.9      0.4711      0.5617        1.033
  305       113.5      0.4573      0.5594        1.017
  306       116.1      0.4435       0.557        1.001
  307       118.9      0.4297      0.5546       0.9843
  308       121.6      0.4158      0.5526       0.9685
  309       124.5       0.402       0.551       0.9529
  310       127.4      0.3908      0.5492       0.9401
  311       130.3      0.3802      0.5475       0.9277
  312       133.4      0.3696      0.5457       0.9153
  313       136.5       0.359      0.5439       0.9029
  314       139.6      0.3484       0.542       0.8904
  315       142.9      0.3378      0.5409       0.8787
  316       146.2      0.3271      0.5399       0.8671
  317       149.6      0.3165      0.5389       0.8554
  318       153.1      0.3058      0.5388       0.8446
  319       156.7      0.2951      0.5388       0.8339
  320       160.3      0.2865      0.5388       0.8254
  321       164.1      0.2795      0.5388       0.8183
  322       167.9      0.2725      0.5388       0.8113
  323       171.8      0.2654      0.5388       0.8042
  324       175.8      0.2583      0.5388       0.7971
  325       179.9      0.2513      0.5388       0.7901
  326       184.1      0.2442      0.5378        0.782
  327       188.4      0.2371      0.5367       0.7738
  328       192.8      0.2299      0.5356       0.7656
  329       197.2      0.2228      0.5345       0.7573
  330       201.8      0.2176      0.5337       0.7512
  331       206.5      0.2141      0.5332       0.7473
  332       211.3      0.2106      0.5327       0.7433
  333       216.3      0.2071      0.5322       0.7393
  334       221.3      0.2036      0.5317       0.7353
  335       226.5      0.2001      0.5312       0.7313
  336       231.7      0.1966      0.5307       0.7273
  337       237.1       0.193      0.5302       0.7232
  338       242.7      0.1895      0.5296       0.7191
  339       248.3       0.186      0.5291        0.715
  340       254.1      0.1848      0.5289       0.7136
  341         260      0.1849      0.5289       0.7138
  342       266.1       0.185      0.5289       0.7139
  343       272.3      0.1852      0.5288        0.714
  344       278.6      0.1853      0.5288       0.7141
  345       285.1      0.1854      0.5288       0.7142
  346       291.7      0.1856      0.5288       0.7144
  347       298.5      0.1857      0.5288       0.7145
  348       305.5      0.1859      0.5299       0.7157
  349       312.6       0.186      0.5313       0.7173
  350       319.9      0.1893      0.5327        0.722
  351       327.3      0.1929      0.5342        0.727
  352         335      0.1964      0.5357       0.7321
  353       342.8      0.1999      0.5373       0.7372
  354       350.8      0.2035      0.5388       0.7423
  355       358.9       0.207      0.5405       0.7475
  356       367.3      0.2106      0.5421       0.7527
  357       375.8      0.2142      0.5438        0.758
  358       384.6      0.2177      0.5456       0.7633
  359       393.6      0.2223      0.5474       0.7697
  360       402.7      0.2279      0.5492       0.7771
  361       412.1      0.2335      0.5511       0.7845
  362       421.7      0.2391       0.553        0.792
  363       431.5      0.2447      0.5549       0.7996
  364       441.6      0.2503      0.5569       0.8073
  365       451.9       0.256       0.559        0.815
  366       462.4      0.2617      0.5611       0.8228
  367       473.2      0.2674      0.5633       0.8306
  368       484.2       0.273      0.5655       0.8385
  369       495.5      0.2785      0.5677       0.8462
  370         507       0.284      0.5704       0.8543
  371       518.8      0.2895      0.5733       0.8628
  372       530.9       0.295      0.5763       0.8714
  373       543.3      0.3006      0.5794         0.88
  374       555.9      0.3061      0.5826       0.8887
  375       568.9      0.3117      0.5858       0.8975
  376       582.1      0.3173      0.5891       0.9064
  377       595.7      0.3224      0.5925       0.9149
  378       609.5      0.3263       0.595       0.9213
  379       623.7      0.3303      0.5971       0.9274
  380       638.3      0.3342      0.5993       0.9335
  381       653.1      0.3382      0.6015       0.9397
  382       668.3      0.3421      0.6038       0.9459
  383       683.9      0.3461      0.6061       0.9522
  384       699.8      0.3501      0.6085       0.9586
  385       716.1      0.3541      0.6093       0.9635
  386       732.8       0.357      0.6102       0.9672
  387       749.9      0.3592       0.611       0.9702
  388       767.4      0.3614      0.6119       0.9733
  389       785.2      0.3636      0.6128       0.9764
  390       803.5      0.3658      0.6137       0.9795
  391       822.2       0.368      0.6146       0.9827
  392       841.4      0.3702      0.6156       0.9858
  393         861      0.3725      0.6166       0.9891
  394         881      0.3745      0.6176        0.992
  395       901.6      0.3754      0.6185        0.994
  396       922.6      0.3764       0.619       0.9954
  397       944.1      0.3774      0.6194       0.9968
  398       966.1      0.3784      0.6198       0.9982
  399       988.6      0.3793      0.6203       0.9996
  400        1012      0.3803      0.6207        1.001
  401        1035      0.3813       0.621        1.002
  402        1059      0.3823      0.6213        1.004
  403        1084      0.3825      0.6217        1.004
  404        1109      0.3828       0.622        1.005
  405        1135      0.3831      0.6224        1.005
  406        1161      0.3833      0.6228        1.006
  407        1189      0.3836      0.6232        1.007
  408        1216      0.3839      0.6236        1.007
  409        1245      0.3841       0.624        1.008
  410        1274      0.3843      0.6244        1.009
  411        1303      0.3842      0.6248        1.009
  412        1334      0.3841      0.6252        1.009
  413        1365       0.384      0.6257         1.01
  414        1396      0.3839      0.6261         1.01
  415        1429      0.3838      0.6266         1.01
  416        1462      0.3837       0.627        1.011
  417        1496      0.3836      0.6275        1.011
  418        1531      0.3834      0.6276        1.011
  419        1567      0.3832      0.6277        1.011
  420        1603      0.3829      0.6278        1.011
  421        1641      0.3826      0.6279         1.01
  422        1679      0.3823      0.6279         1.01
  423        1718       0.382       0.628         1.01
  424        1758      0.3818      0.6281         1.01
  425        1799      0.3815      0.6282         1.01
  426        1841      0.3811      0.6283        1.009
  427        1884      0.3807      0.6284        1.009
  428        1928      0.3804      0.6285        1.009
  429        1972        0.38      0.6286        1.009
  430        2018      0.3796      0.6284        1.008
  431        2065      0.3793       0.628        1.007
  432        2113      0.3789      0.6275        1.006
  433        2163      0.3785       0.627        1.005
  434        2213      0.3781      0.6265        1.005
  435        2265      0.3777       0.626        1.004
  436        2317      0.3773      0.6254        1.003
  437        2371      0.3769      0.6249        1.002
  438        2427      0.3765      0.6244        1.001
  439        2483      0.3761      0.6238       0.9998
  440        2541      0.3756      0.6232       0.9988
  441        2600      0.3752      0.6226       0.9978
  442        2661      0.3748       0.622       0.9968
  443        2723      0.3744      0.6214       0.9958
  444        2786      0.3739      0.6208       0.9947
  445        2851      0.3735      0.6201       0.9936
  446        2917      0.3731      0.6195       0.9925
  447        2985      0.3726      0.6188       0.9914
  448        3055      0.3722      0.6184       0.9906
  449        3126      0.3717      0.6181       0.9899
  450        3199      0.3713      0.6178       0.9891
  451        3273      0.3709      0.6175       0.9884
  452        3350      0.3704      0.6172       0.9876
  453        3428        0.37      0.6169       0.9869
  454        3508      0.3695      0.6166       0.9861
  455        3589      0.3691      0.6162       0.9853
  456        3673      0.3686      0.6159       0.9846
  457        3758      0.3682      0.6156       0.9838
  458        3846      0.3678      0.6152        0.983
  459        3936      0.3673      0.6148       0.9821
  460        4027      0.3669      0.6145       0.9813
  461        4121      0.3664      0.6141       0.9805
  462        4217       0.366      0.6137       0.9797
  463        4315      0.3655      0.6133       0.9788
  464        4416      0.3651      0.6129       0.9779
  465        4519      0.3646      0.6125       0.9771
  466        4624      0.3642       0.612       0.9762
  467        4732      0.3637      0.6116       0.9753
  468        4842      0.3633      0.6112       0.9744
  469        4955      0.3628      0.6107       0.9735
  470        5070      0.3624      0.6103       0.9727
  471        5188      0.3619      0.6101        0.972
  472        5309      0.3614      0.6098       0.9712
  473        5433       0.361      0.6095       0.9704
  474        5559      0.3605      0.6091       0.9697
  475        5689      0.3601      0.6088       0.9689
  476        5821      0.3596      0.6085       0.9681
  477        5957      0.3592      0.6082       0.9674
  478        6095      0.3587      0.6078       0.9666
  479        6237      0.3583      0.6075       0.9658
  480        6383      0.3579      0.6071        0.965
  481        6531      0.3574      0.6067       0.9641
  482        6683       0.357      0.6064       0.9633
  483        6839      0.3565       0.606       0.9625
